This is a Temperature and Humidity Data File
ID,Humidity,Temperature Celsius, Temperature Fahrenheit
111001,24.00,25.00,77.00,Wed Jan 23 07:01:16 2019
111001,24.00,25.00,77.00,Wed Jan 23 07:01:30 2019
111001,24.00,25.00,77.00,Wed Jan 23 07:01:44 2019
111001,24.00,25.00,77.00,Wed Jan 23 07:01:59 2019
111001,24.00,25.00,77.00,Wed Jan 23 07:02:13 2019
111001,24.00,25.00,77.00,Wed Jan 23 07:02:27 2019
111001,24.00,25.00,77.00,Wed Jan 23 07:02:41 2019
111001,24.00,25.00,77.00,Wed Jan 23 07:02:55 2019
111001,24.00,25.00,77.00,Wed Jan 23 07:03:09 2019
111001,24.00,25.00,77.00,Wed Jan 23 07:03:23 2019
111001,24.00,25.00,77.00,Wed Jan 23 07:03:37 2019
111001,24.00,26.00,78.80,Wed Jan 23 07:03:51 2019
111001,24.00,25.00,77.00,Wed Jan 23 07:04:05 2019
111001,24.00,26.00,78.80,Wed Jan 23 07:04:20 2019
111001,24.00,26.00,78.80,Wed Jan 23 07:04:34 2019
111001,24.00,26.00,78.80,Wed Jan 23 07:04:48 2019
111001,24.00,26.00,78.80,Wed Jan 23 07:05:02 2019
111001,24.00,26.00,78.80,Wed Jan 23 07:05:16 2019
111001,24.00,25.00,77.00,Wed Jan 23 07:05:30 2019
