This is a Temperature and Humidity Data File
ID,Axis,Value,Axis,Value,Axis,Value
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:17:52 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:18:06 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:18:20 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:18:34 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:18:48 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:19:02 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:19:16 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:19:30 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:19:44 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:19:58 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:20:13 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:20:27 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:21:40 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:21:54 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:22:08 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:22:22 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:22:36 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:22:50 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:23:04 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:23:18 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:23:32 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:24:41 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:24:55 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:25:10 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:25:24 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:25:38 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:25:52 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:26:06 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:26:20 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:26:34 2019
111002,X,.25,Y,.35,Z,.67,Fri Jan 25 02:26:48 2019
